vs name, vs ip, pool, pool members
Admin1-T4,10.10.12.44:https,Admin1-T4,N/A
Admin1-t2,10.10.12.42:http,N/A,N/A
Admin1-t2-443,10.10.12.42:https,Admin1-t2,N/A
Admin1-t3,10.10.12.43:http,N/A,N/A
Admin1-t3-443,10.10.12.43:https,Admin1-t3,N/A
Admin1-t5,10.10.12.46:http,N/A,N/A
Admin1-t5-443,10.10.12.46:https,Admin1-t5,N/A
Admin-temp-t2_80,10.10.12.30:http,Admin-temp-t2,N/A
Admin-temp-t2_443,10.10.12.30:https,Admin-temp-t2,N/A
Admin-temp-t3_80,10.10.12.35:http,Admin-temp-t3,N/A
Admin-temp-t3_443,10.10.12.35:https,Admin-temp-t3,N/A
Admin_T4_80,10.10.12.10:http,N/A,N/A
Admin_T4_443,10.10.12.10:https,Admin-T4,N/A
Admin_T5_80,10.10.12.15:http,N/A,N/A
Admin_T5_443,10.10.12.15:https,Admin-T5,N/A
Admin_t6_80,10.10.12.168:http,N/A,N/A
Admin_t6_443,10.10.12.168:https,Admin-t6,N/A
Booking-t6_80,10.10.12.170:http,N/A,N/A
Booking-t6_443,10.10.12.170:https,Booking-t6,N/A
Booking-temp-t2_80,10.10.12.31:http,N/A,N/A
Booking-temp-t2_443,10.10.12.31:https,Booking-temp-t2,N/A
Booking-temp-t3_80,10.10.12.36:http,N/A,N/A
Booking-temp-t3_443,10.10.12.36:https,Booking-temp-t3,N/A
Booking_T4_80,10.10.12.11:http,N/A,N/A
Booking_T4_443,10.10.12.11:https,Booking-T4,N/A
Booking_T5_80,10.10.12.16:http,N/A,N/A
Booking_T5_443,10.10.12.16:https,Booking-T5,N/A
Bookings-T4_Console-T4_80,10.10.12.201:http,N/A,N/A
Bookings-T4_Console-T4_443,10.10.12.201:https,Bookings-T4_Console-T4,N/A
Bookings-T6_Console-T6_80,10.10.12.160:http,N/A,N/A
Bookings-T6_Console-T6_443,10.10.12.160:https,Bookings-T6_Console-T6,N/A
Bookings-t5_80,10.10.12.202:http,N/A,N/A
Bookings-t5_443,10.10.12.202:https,Bookings-t5,N/A
Callcenter-temp-t1_80,10.10.12.27:http,N/A,N/A
Callcenter-temp-t1_443,10.10.12.27:https,Callcenter-temp-t1,N/A
Callcenter-temp-t2_80,10.10.12.32:http,N/A,N/A
Callcenter-temp-t2_443,10.10.12.32:https,Callcenter-temp-t2,N/A
Callcenter-temp-t3_80,10.10.12.37:http,N/A,N/A
Callcenter-temp-t3_443,10.10.12.37:https,Callcenter-temp-t3,N/A
Callcenter_T4_80,10.10.12.12:http,N/A,N/A
Callcenter_T5_80,10.10.12.17:http,N/A,N/A
Console-t5_80,10.10.12.187:http,N/A,N/A
Console-t5_443,10.10.12.187:https,Console-t5,N/A
Expedia-T5,10.10.12.45:http,Expedia-T5,N/A
Ezyield_Maint1,10.10.12.191:http,N/A,N/A
Ezyield_Maint1_HTTPS,10.10.12.191:https,maintpage_pool,N/A
Ezyield_Maint2,10.10.12.192:http,N/A,N/A
Ezyield_Maint2_HTTPS,10.10.12.192:https,maintpage_pool,N/A
Ezyield_Maint3,10.10.12.193:http,N/A,N/A
Ezyield_Maint3_HTTPS,10.10.12.193:https,N/A,N/A
IMS-VIP1,10.10.30.13:http,IMS,N/A
IMS-VIP1_443,10.10.30.13:https,IMS,N/A
IMS-VIP2,10.10.30.14:http,IMS-2,N/A
Imanager-temp-t1_443,10.10.12.28:https,imanager-temp-t1,N/A
Imanager-temp-t2_443,10.10.12.33:https,imanager-temp-t2,N/A
Imanager-temp-t3_443,10.10.12.38:https,imanager-temp-t3,N/A
Imanager_T4_80,10.10.12.13:http,N/A,N/A
Imanager_T4_443,10.10.12.13:https,Imanager-T4,N/A
Imanager_T5_80,10.10.12.18:http,N/A,N/A
Imanager_T5_443,10.10.12.18:https,Imanager-T5,N/A
Reservations-t6_80,10.10.12.171:http,N/A,N/A
Reservations-t6_443,10.10.12.171:https,Reservations-t6,N/A
Reservations-temp-t2-80,10.10.12.34:http,N/A,N/A
Reservations-temp-t2_443,10.10.12.34:https,Reservations-temp-t2,N/A
Reservations-temp-t3_80,10.10.12.39:http,Reservations-temp-t3,N/A
Reservations-temp-t3_443,10.10.12.39:https,Reservations-temp-t3,N/A
Reservations_T4_80,10.10.12.14:http,Reservations-T4,N/A
Reservations_T4_443,10.10.12.14:https,Reservations-T4,N/A
Reservations_T5_80,10.10.12.19:http,Reservations-T5,N/A
Reservations_T5_443,10.10.12.19:https,Reservations-T5,N/A
Vs_gms_10022,10.10.12.166:10022,Pool_IDT_10022,N/A
Vs_htk360_80,10.10.12.79:http,Pool_htk360_9740,N/A
Vs_ota-t3_ihotelier.com_443,10.10.12.82:https,Pool_ota-t3_ihotelier.com_80,N/A
Vs_pci_80,10.10.12.73:http,N/A,N/A
Vs_pci_443,10.10.12.73:https,N/A,N/A
Vs_pms-t5_80,10.10.12.75:http,Pool_pms-t5_80,N/A
Vs_pms-t5_443,10.10.12.75:https,Pool_pms-t5_80,N/A
Vs_sftp_gms,10.10.12.166:ssh,Pool_sftp_IDT,N/A
expedia-T5-https,10.10.12.45:https,Expedia-T5,N/A
gtm_test_80,10.10.12.150:http,N/A,N/A
imanager-t6_80,10.10.12.169:http,N/A,N/A
imanager-t6_443,10.10.12.169:https,imanager-t6,N/A
imanager-temp-t1_80,10.10.12.28:http,imanager-temp-t1,N/A
imanager-temp-t2_80,10.10.12.33:http,imanager-temp-t2,N/A
imanager-temp-t3_80,10.10.12.38:http,imanager-temp-t3,N/A
mobile-t6_80,10.10.12.178:http,N/A,N/A
mobile-t6_443,10.10.12.178:https,pool_m-t6.ihotelier.com,N/A
mobile_t2_80,10.10.12.93:http,N/A,N/A
mobile_t2_443,10.10.12.93:https,Booking-temp-t2,N/A
mobile_t3_80,10.10.12.90:http,N/A,N/A
mobile_t3_443,10.10.12.90:https,Booking-temp-t3,N/A
mobile_t5_80,10.10.12.91:http,N/A,N/A
mobile_t5_443,10.10.12.91:https,pool_mobile_t5,N/A
vs_CallCenter_New_T5,10.10.12.207:https,callcenter-new-t5,N/A
vs_CallCenter_New_T5_80,10.10.12.207:http,callcenter-new-t5,N/A
vs_Databridge-T4_80,10.10.12.80:http,Databridge-T4,N/A
vs_Databridge-T4_443,10.10.12.80:https,Databridge-T4,N/A
vs_Databridge-T5_80,10.10.12.81:http,Databridge-T5,N/A
vs_Databridge-T5_443,10.10.12.81:https,Databridge-T5,N/A
vs_IMS-TEST_80,10.10.31.249:http,IMS-Test,N/A
vs_IMS-Trump_80,10.10.30.18:http,Trump,N/A
vs_IMS-Trump_80_new,10.10.30.19:http,Trump,N/A
vs_IMS-VIP4_80,10.10.30.16:http,IMS-4,N/A
vs_IMS-VIP5_80,10.10.30.17:http,IMS-5,N/A
vs_IMS-VIP8_80,10.10.31.140:http,IMS-8,N/A
vs__api-ihos-t5.ihotelier.com_80,10.10.12.78:http,pool_ota_api_t5_8080,N/A
vs__api-ihos-t5.ihotelier.com_443,10.10.12.78:https,pool_ota_api_t5_8080,N/A
vs_admin-v1_80,10.10.12.68:http,N/A,N/A
vs_admin-v1_443,10.10.12.68:https,pool_admin-v1_8080,N/A
vs_admin_80,10.10.12.64:http,N/A,N/A
vs_admin_443,10.10.12.64:https,pool_admin_8080,N/A
vs_api-cd_80,10.10.12.69:http,pool_api-cd_8080,N/A
vs_api-cd_443,10.10.12.69:https,pool_api-cd_8080,N/A
vs_api-ihos-t6.ihotelier.com_80,10.10.12.173:http,N/A,N/A
vs_api-ihos-t6.ihotelier.com_443,10.10.12.173:https,pool_ota_t6_8080,N/A
vs_api-ihos_80,10.10.12.159:http,pool_api-ihos_8080,N/A
vs_api-ihos_443,10.10.12.159:https,pool_api-ihos_8080,N/A
vs_aramark_80,10.10.30.57:http,IMS-Aramark,N/A
vs_booking_80,10.10.12.63:http,N/A,N/A
vs_booking_443,10.10.12.63:https,pool_booking_8080,N/A
vs_bookings_80,10.10.12.198:http,N/A,N/A
vs_bookings_443,10.10.12.198:https,pool_bookings_8080,N/A
vs_callcenter15-perf.ihotelier.com_80,10.10.12.209:http,pool_callcenter15-perf.ihotelier.com,N/A
vs_callcenter15-perf.ihotelier.com_443,10.10.12.209:https,pool_callcenter15-perf.ihotelier.com,N/A
vs_callcenter15-t6.ihotelier.com_80,10.10.12.208:http,pool_callcenter15-t6.ihotelier.com,N/A
vs_callcenter15-t6.ihotelier.com_443,10.10.12.208:https,pool_callcenter15-t6.ihotelier.com,N/A
vs_callcenter_80,10.10.12.65:http,N/A,N/A
vs_callcenter_443,10.10.12.65:https,pool_callcenter_80,N/A
vs_cftest1_80,10.10.12.211:http,pool_cftest1,N/A
vs_cftest1_443,10.10.12.211:https,pool_cftest1,N/A
vs_cftest2_80,10.10.12.212:http,pool_cftest2,N/A
vs_cftest2_443,10.10.12.212:https,pool_cftest2,N/A
vs_console_80,10.10.12.199:http,N/A,N/A
vs_console_443,10.10.12.199:https,pool_console_8080,N/A
vs_demo_ims_t1_80,10.10.12.83:http,pool_demo_ims_t1,N/A
vs_demo_ims_t1_443,10.10.12.83:https,pool_demo_ims_t1,N/A
vs_emc_80,10.10.12.51:http,N/A,N/A
vs_emc_443,10.10.12.51:https,pool_insite_80,N/A
vs_etrak_80,10.10.12.70:http,pool_etrak_8080,N/A
vs_etrak_443,10.10.12.70:https,pool_etrak_8080,N/A
vs_exch2007_80,10.10.12.96:http,pool_exch2007_80,N/A
vs_exch2007_443,10.10.12.96:https,pool_exch2007_443,N/A
vs_exch2010_80,10.10.12.181:http,pool_excaswlm_80,N/A
vs_exch2010_443,10.10.12.181:https,pool_excaswlm_443,N/A
vs_exch2010_smtp,10.10.12.181:smtp,pool_excaswlm_smtp,N/A
vs_exch_srv_25,10.10.12.85:smtp,pool_exch_srv_smtp,N/A
vs_exch_srv_80,10.10.12.85:http,N/A,N/A
vs_exch_srv_443,10.10.12.85:https,pool_exch_srv_80,N/A
vs_gms_80,10.10.12.167:http,pool_gms_8080,N/A
vs_gms_443,10.10.12.167:https,pool_gms_8080,N/A
vs_gms_dev_80,10.10.12.205:http,pool_gms_dev_8080,N/A
vs_gms_dev_443,10.10.12.205:https,pool_gms_dev_8080,N/A
vs_gmsapps-audit_80,10.10.12.214:http,pool_gmsapps-audit,N/A
vs_gmsapps-audit_443,10.10.12.214:https,pool_gmsapps-audit,N/A
vs_gmsapps_80,10.10.12.175:http,pool_gmsapps_80,N/A
vs_gmsapps_443,10.10.12.175:https,pool_gmsapps_80,N/A
vs_guestmanagement-survey.travelclick.com_80,10.10.12.20:http,pool_guestmanagement-survey.travelclick.com,N/A
vs_guestmanagement-survey.travelclick.com_443,10.10.12.20:https,pool_guestmanagement-survey.travelclick.com,N/A
vs_imanager2.ihotelier.com_80,10.10.12.135:http,N/A,N/A
vs_imanager2.ihotelier.com_443,10.10.12.135:https,pool_imanager2.ihotelier.com,N/A
vs_imanager_80,10.10.12.66:http,N/A,N/A
vs_imanager_443,10.10.12.66:https,pool_imanager_8080,N/A
vs_insite-d1_80,10.10.12.179:http,N/A,N/A
vs_insite-d1_443,10.10.12.179:https,insite-d1,N/A
vs_insite-t1_80,10.10.12.177:http,N/A,N/A
vs_insite-t1_443,10.10.12.177:https,insite-t1,N/A
vs_insite-t2_80,10.10.12.76:http,N/A,N/A
vs_insite-t2_443,10.10.12.76:https,Insite-t2,N/A
vs_insite_80,10.10.12.50:http,N/A,N/A
vs_insite_443,10.10.12.50:https,pool_insite_80,N/A
vs_insite_d2_80,10.10.12.146:http,N/A,N/A
vs_insite_d2_443,10.10.12.146:https,pool_insite_d2,N/A
vs_insite_t3_80,10.10.12.176:http,N/A,N/A
vs_insite_t3_443,10.10.12.176:https,Insite-t3,N/A
vs_is3_t4_80,10.10.12.137:http,pool_is3_t4_8080,N/A
vs_mobile-T1_443,10.10.12.97:https,Pool_mobile_T1,N/A
vs_mobile-t2_80,10.10.12.180:http,N/A,N/A
vs_mobile-t2_443,10.10.12.180:https,mobile-t2,N/A
vs_mobile_80,10.10.12.57:http,N/A,N/A
vs_mobile_443,10.10.12.57:https,pool_mobile,N/A
vs_mobile_T1_80,10.10.12.97:http,N/A,N/A
vs_mobile_T4_80,10.10.12.98:http,N/A,N/A
vs_mobile_T4_443,10.10.12.98:https,pool_mobile_T4,N/A
vs_new_booking_80,10.10.12.163:http,pool_booking_8080,N/A
vs_new_ota_http,10.10.12.158:http,pool_new_ota_8080,N/A
vs_new_ota_https,10.10.12.158:https,pool_new_ota_8080,N/A
vs_ns2tcp_53,10.10.12.136:domain,pool_ns2_53,N/A
vs_ns2tcp_temp_53,10.10.136.30:domain,pool_ns2_temp_53,N/A
vs_ns2udp_53,10.10.12.136:domain,pool_ns2_53,N/A
vs_ns2udp_temp_53,10.10.136.30:domain,pool_ns2_temp_53,N/A
vs_ota2_t6.ihotelier.com_80,10.10.12.174:http,pool_ota2_t6_8080,N/A
vs_ota2_t6.ihotelier.com_443,10.10.12.174:https,pool_ota2_t6_8080,N/A
vs_ota-t3_ihotelier.com_80,10.10.12.82:http,Pool_ota-t3_ihotelier.com_80,N/A
vs_ota-t4_ihotelier.com_80,10.10.12.89:http,Pool_ota-t4_ihotelier.com_8080,N/A
vs_ota-t4_ihotelier.com_443,10.10.12.89:https,Pool_ota-t4_ihotelier.com_8080,N/A
vs_ota_api_80,10.10.12.58:http,pool_ota_api_8080,N/A
vs_ota_api_443,10.10.12.58:https,pool_ota_api_8080,N/A
vs_ota_gch_api_443,10.10.12.196:https,pool_ota_ghc_api_8080,N/A
vs_ota_ghc_api_80,10.10.12.196:http,pool_ota_ghc_api_8080,N/A
vs_ota_t3_80,10.10.12.47:http,pool_ota_t3_8080,N/A
vs_ota_xapi_80,10.10.12.183:http,pool_ota_xapi_8080,N/A
vs_ota_xapi_443,10.10.12.183:https,pool_ota_xapi_8080,N/A
vs_ota_xapi_t5_80,10.10.12.204:http,pool_ota_xapi_t5_8080,N/A
vs_ota_xapi_t5_443,10.10.12.204:https,pool_ota_xapi_t5_8080,N/A
vs_pms_connect_80,10.10.12.77:http,N/A,N/A
vs_pms_connect_443,10.10.12.77:https,pool_pms_connect_8080,N/A
vs_pmsconnect_80,10.10.12.87:http,N/A,N/A
vs_pmsconnect_443,10.10.12.87:https,pool_pms_connect_new_8080,N/A
vs_protel-test_443,10.10.12.215:https,pool_protel-test,N/A
vs_protel-test_8080,10.10.12.215:webcache,pool_protel-test,N/A
vs_resv_test_80,10.10.12.55:http,N/A,N/A
vs_resv_test_443,10.10.12.55:https,pool_insite_80,N/A
vs_rvuiqa_80,10.10.12.49:http,N/A,N/A
vs_rvuiqa_443,10.10.12.49:https,pool_rvuiqa_80,N/A
vs_schedule_IMS_Splash_Page,10.10.31.250:http,N/A,N/A
vs_secure.trumpcasinos.com_80,10.10.30.210:http,Trump,N/A
vs_secure.trumpcasinos.com_443,10.10.30.210:https,Trump,N/A
vs_stride_80,10.10.12.72:http,N/A,N/A
vs_stride_443,10.10.12.72:https,pool_stride_8080,N/A
vs_test_ims-5,10.10.30.15:http,IMS-4,N/A
vs_trumpmarina.com_80,10.10.30.211:http,Trump,N/A
vs_trumpmarina.com_443,10.10.30.211:https,Trump,N/A
vs_trumpplaza.com_80,10.10.30.212:http,Trump,N/A
vs_trumpplaza.com_443,10.10.30.212:https,Trump,N/A
vs_trumptaj.com_80,10.10.30.213:http,Trump,N/A
vs_trumptaj.com_443,10.10.30.213:https,Trump,N/A
vs_urchin_80,10.10.12.52:http,N/A,N/A
vs_urchin_443,10.10.12.52:https,pool_urchin_9999,N/A
vs_urchin_9999,10.10.12.52:distinct,N/A,N/A
vs_vmview_80,10.10.12.92:http,pool_vmview,N/A
vs_vmview_443,10.10.12.92:https,pool_vmview,N/A
vs_web2_bluesqstudios.com_80,10.10.12.100:http,pool_urchin_80,N/A
vs_wildcard_outbound_ftp_21,any:any,N/A,N/A
